Location,1BHK,2BHK,3BHK
Volagerekallahalli,15324514.660665497,16467954.201793483,16658983.243020898
Mysore Road,15339424.526317503,16441454.742322378,16754796.308682
Thanisandra Main Road,15323493.566233838,16501291.201926352,16656732.353699904
Koppa Begur Road,15359455.157560231,16499240.26340532,16756572.598553738
Sarjapur Road,15326189.19194035,16511120.491373336,16748239.240689905
Ulsoor,15316494.21752605,16498147.698731018,16656732.353699904
Kathriguppe,15387338.074868549,16311619.000184176,16754463.649261357
Babusabpalya,15035819.716381678,16322020.539390767,17048323.56463713
AECS Layout A Block Singasandra,15219624.777573023,16239642.102922162,17048323.56463713
KR Puram Bhattarahalli,15303946.201785352,16443318.091522304,16699881.187003857
Raja Rajeshwari Nagar 5th Stage,15354956.216211481,16508590.243088644,16755758.734281855
RMV 2nd Stage,15365793.629771214,16498302.679791749,16744225.55133091
Kambipura,15373536.872311523,16306058.854904067,16705781.969651993
Pattanagere Main Road,15362446.497708026,16482268.504971415,16744225.55133091
Ashwathkatte Road,15007659.48816616,16310243.709223343,17048323.56463713
BEML Layout 5th Stage,15043855.576710418,16314487.875846062,17048323.56463713
Shivaji Nagar,15339500.351622317,16481321.073471548,16707583.521237545
Bagalur,15082721.687882856,16322020.539390767,17048323.56463713
Sarjapur Attibele,15326189.19194035,16511120.491373336,16748239.240689905
Domlur Layout,15163264.46211413,16230714.298538214,17162957.80826526
sarjapura attibele road,15324514.660665497,16582353.273689922,16658983.243020898
TC Palya Road,15325081.947820295,16498057.200375814,16707583.521237545
ISRO Layout,15322511.705305252,16462760.491953023,16900804.62721933
Munnekollal,15325115.959506331,16441454.742322378,16754796.308682
Infantry Road,15321854.124209609,16460886.782271473,16962069.037802245
Richards Town,15350589.131815385,16501366.358421016,16748239.240689905
Pattanagere,15362365.971737819,16482291.96228609,16762996.726602295
Benson Town,15164924.12708974,16298961.05640556,17117654.820730656
Sri Krishna Garden Layout,15331345.825667052,16500223.910743902,16707583.521237545
Kenchena Halli Road,15381348.743770558,16373109.06299439,16754463.649261357
Rajarajeswari Nagar,15360073.186160084,16508590.243088644,16755758.734281855
Bannerghatta Main Road,15132312.261798793,16335620.009377778,17048323.56463713
Mahadevapura,15322528.415331963,16472225.626934247,16754796.308682
Babusa Palya,15035819.716381678,16314487.875846062,17048323.56463713
Kumaraswamy Layout Vittal Nagar,15358872.468478994,16497430.974477265,16756572.598553738
Ideal Homes Co Operative Housing Society,15328284.838680921,16462760.491953023,16900804.62721933
5th Stage BEML Layout,15218263.455829775,16239642.102922162,17048323.56463713
Dwaraka Nagar,15166017.507133974,16230714.298538214,17162957.80826526
Krishna Garden Road,15359455.157560231,16525478.99991356,16756572.598553738
Gubbalala Main Road,15153437.724380242,16438619.802629532,17170795.82375354
RT Nager,15354428.35870306,16508120.118089963,16755758.734281855
Kadathanamale,15309619.211485505,16407745.579115314,16699881.187003857
Manyata Tech Park Nagawara,15322209.418432416,16450228.867016075,16754796.308682
Chandapura Anekal Road,15159745.866677228,16217486.663028236,17124027.017604604
BEML Layout,15043855.576710418,16304414.456693184,17048323.56463713
Nagavara,15348433.901130257,16403684.675360316,16754796.308682
Abbigere,15207693.149164181,16239642.102922162,17048323.56463713
HBR Layout 4th Block,15148189.03082847,16441931.537235277,17170795.82375354
Panathur Road,15359209.858533153,16467692.516929206,16762996.726602295
Poornapragna Housing Society L,15362446.497708026,16482268.504971415,16744225.55133091
Wheeler Road Extension,15324514.660665497,16467954.201793483,16658983.243020898
Hegde Nagar,15285566.771805588,16445508.891804852,17170795.82375354
Vasanthapura Main Road,15324469.220795037,16478788.90969842,16658983.243020898
Hennur Road,15285566.771805588,16413192.00544104,17170795.82375354
Telecom Layout Thanisandra,15316593.803576466,16498057.200375814,16656732.353699904
Manayata Tech Park,15323751.590472981,16491035.347138656,16754796.308682
MS Ramaiah North City Manayata Tech Park,15322528.415331963,16472225.626934247,16754796.308682
Near Peenya Industrial Area,15359161.041711176,16473498.106547013,16757082.137792941
Bennigana Halli,15164924.12708974,16452542.998613786,17120599.037124224
Jaibharath Nagar Bangalore,15300758.858240008,16508028.207758503,16919953.85351746
Sadashiva Nagar,15349713.600717645,16511200.813090311,16748239.240689905
Ashok Nagar,15007659.48816616,16303917.83002025,17048323.56463713
Kogilu Road Near Yelahanka,15373797.72426875,16458803.161555469,16754463.649261357
Sompura Gate,15331345.825667052,16500223.910743902,16707583.521237545
Bagaluru,15082721.687882856,16321721.049617171,17048323.56463713
Lavelle Road,15358872.468478994,16474079.659167562,16751331.755542474
Horamavu Banjara Lyout,15285566.771805588,16411892.815846134,16920451.85397031
Kundalahalli,15358872.468478994,16497430.974477265,16756572.598553738
Basaveswarnagar,15164924.12708974,16378202.33995241,17094020.081345268
White Field,15324514.660665497,16467954.201793483,16658983.243020898
Yelahanka New Town,15324514.660665497,16414881.721269993,16658983.243020898
Bannerghatta Road Jigani,15132312.261798793,16355540.539640736,17048323.56463713
Hennagara,15285566.771805588,16438915.10076027,17170795.82375354
EPIP Zone,15166017.507133974,16372044.792013455,17170795.82375354
T C Palya Main Road,15325081.947820295,16500223.910743902,16707583.521237545
CV Raman Nagar Kaggadasapura,15178470.595521772,16234326.550660565,17119340.72753435
Ramanjaneyanagar,15353442.116289694,16512520.668969743,16755758.734281855
Chikkanayakanahalli at Off Sarjapur,15225209.162152577,16181568.31675859,17137146.597490493
Ashoka Road,15007659.48816616,16307268.365534395,17048323.56463713
Sindhi Colony,15328908.235578379,16481321.073471548,16707583.521237545
KR Puram Old Madras Road,15309619.211485505,16443318.091522304,16699881.187003857
Bannerghatta,15132312.261798793,16334707.522663128,17048323.56463713
Begur Road,15164924.12708974,16387515.012543904,17094714.595572744
K P Main Road,15303866.92881251,16450663.370800864,16699881.187003857
Residential Flat Uttarahalli Hobli,15353442.116289694,16491120.172333417,16748239.240689905
Bagaluru Near Yelahanka,15082721.687882856,16332118.892050311,17048323.56463713
Ananth Nagar,15185730.87574104,16297511.684024895,17048323.56463713
Electronic City Phase I,15137306.297859408,16450744.43404242,17170795.82375354
6th phase jp nagar,15224896.776784582,16239642.102922162,17048323.56463713
Ramagondanahalli,15360073.186160084,16508590.243088644,16755758.734281855
Jalahalli West,15302136.893678308,16498152.526548274,16919039.521873087
Off Bannerghatta Road,15359161.041711176,16467692.516929206,16757082.137792941
JP Nagar,15321854.124209609,16475326.77369826,17000337.94854834
Mallasandra,15320956.559496738,16491035.347138656,16754796.308682
JP Nagar Phase 2,15307604.139039095,16481926.648788018,16977722.60577374
Maruthi Sevanagar,15325115.959506331,16440878.451194013,16754796.308682
Hoskote,15315899.881119015,16449825.229638627,16908323.792601116
Bangalore Road,15132312.261798793,16334707.522663128,17048323.56463713
Residential FlatUttarahalli Hobli,15350289.177937342,16501366.358421016,16748239.240689905
7th Phase JP Nagar,15224896.776784582,16239642.102922162,17048323.56463713
Padmanabha Nagar,15359209.858533153,16467692.516929206,16757082.137792941
Whitefield Road,15324514.660665497,16467954.201793483,16658983.243020898
Nirman Layout,15359161.041711176,16467692.516929206,16757082.137792941
OMBR Layout,15359161.041711176,16467692.516929206,16757082.137792941
Sompura,15331345.825667052,16500223.910743902,16707583.521237545
Medaralli,15325115.959506331,16440878.451194013,16754796.308682
Bengaluru Kanakapura Road,15164924.12708974,16465656.015974397,17120599.037124224
Basapura Main Road,15164924.12708974,16379795.082193261,17094020.081345268
Gunjur Balagere Road,15153437.724380242,16442004.797636198,17170795.82375354
Hosa Road Electronic City,15289271.502956443,16435723.27684313,16920451.85397031
Budigere,15203036.598225867,16241650.97234728,17119340.72753435
Hennagara Main Road,15285566.771805588,16418705.479332114,17170795.82375354
Off Cunningham Road,15359161.041711176,16467692.516929206,16757082.137792941
Vijaya Bank Layout,15324469.220795037,16484973.146042058,16658983.243020898
Geddalahalli,15153437.724380242,16449173.120432626,17170795.82375354
Banashankari Stage III,15136440.261266831,16336446.172008077,17048323.56463713
Bellari Road,15164924.12708974,16465656.015974397,17120599.037124224
Bhoopasandra,15148383.60612431,16265031.594542954,17117654.820730656
Kachanayakanahalli,15309619.211485505,16407745.579115314,16699881.187003857
Seegehalli Road,15339500.351622317,16503035.25114819,16748239.240689905
HAL,15148189.03082847,16441931.537235277,17170795.82375354
